 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
12,6/16/2023 4:40:00 PM,Tanque 1001,123200,35760,Therlet 4,23,OK
29,6/19/2023 3:30:00 AM,Tanque 1003,122800,35120,Therlet 4,22,OK
38,6/20/2023 1:30:00 AM,Tanque 1002,134000,38000,Therlet 4,23,OK
40,6/20/2023 3:30:00 AM,Tanque 1002,119600,35280,Therlet 4,24,OK
45,6/20/2023 5:41:00 AM,Tanque 1001,148800,43520,Therlet 4,24,OK
51,6/20/2023 10:30:00 PM,Tanque 1002,127600,36560,Therlet 4,24,OK
47,6/20/2023 10:33:00 PM,Tanque 1002,127600,36560,Therlet 4,24,OK
53,6/21/2023 12:30:00 AM,Tanque 1002,119200,34000,Therlet 4,24,OK
56,6/21/2023 2:30:00 AM,Tanque 1001,132400,39360,Therlet 4,24,OK
60,6/21/2023 4:30:00 AM,Tanque 1001,130000,39040,Therlet 4,25,OK
63,6/21/2023 2:30:00 PM,Tanque 1001,138800,39520,Therlet 4,25,OK
67,6/21/2023 4:30:00 PM,Tanque 1002,145200,41320,Therlet 4,25,OK
72,6/21/2023 6:30:00 PM,Tanque 1002,146800,40640,Therlet 4,25,OK
76,6/21/2023 8:30:00 PM,Tanque 1001,151000,44600,Therlet 4,23,OK
79,6/21/2023 10:30:00 PM,Tanque 1003,137600,40080,Therlet 4,25,OK
86,6/22/2023 2:30:00 AM,Tanque 1001,122000,36160,Therlet 4,24,OK
90,6/22/2023 4:30:00 AM,Tanque 1002,141200,39760,Therlet 4,24,OK
94,6/22/2023 2:30:00 PM,Tanque 1001,132800,37440,Therlet 4,24,OK
98,6/22/2023 4:30:00 PM,Tanque 1001,146800,40320,Therlet 4,24,OK
102,6/22/2023 6:35:00 PM,Tanque 1003,132400,38400,Therlet 4,23,OK
105,6/22/2023 8:30:00 PM,Tanque 1002,142800,38080,Therlet 4,26,OK
106,6/22/2023 9:30:00 PM,Tanque 1002,139600,40080,Therlet 4,25,OK
107,6/22/2023 10:30:00 PM,Tanque 1003,132000,39960,Therlet 4,24,OK
112,6/23/2023 12:30:00 AM,Tanque 1002,125600,36000,Therlet 4,25,OK
116,6/23/2023 2:30:00 AM,Tanque 1001,152000,41520,Therlet 4,25,OK
120,6/23/2023 4:30:00 AM,Tanque 1001,132800,38320,Therlet 4,25,OK
124,6/23/2023 2:41:00 PM,Tanque 1002,130400,36080,Therlet 4,25,OK
128,6/23/2023 6:33:00 PM,Tanque 1002,125600,36320,Therlet 4,29,OK
129,6/23/2023 6:33:00 PM,Tanque 1002,125600,36320,Therlet 4,29,OK
131,6/23/2023 10:30:00 PM,Tanque 1002,149000,39600,Therlet 4,25,OK
132,6/24/2023 2:15:00 AM,Tanque 1003,128400,39440,Therlet 4,28,OK
133,6/24/2023 2:35:00 PM,Tanque 1001,149600,41560,Therlet 4,23,OK
134,6/24/2023 3:28:00 PM,Tanque 1001,144400,41120,Therlet 4,23,OK
135,6/24/2023 4:42:00 PM,Tanque 1001,130800,40480,Therlet 4,28,OK
136,6/24/2023 5:30:00 PM,Tanque 1002,132400,41200,Therlet 4,23,OK
137,6/24/2023 6:30:00 PM,Tanque 1002,147200,43840,Therlet 4,29,OK
138,6/24/2023 10:30:00 PM,Tanque 1001,123200,37200,Therlet 4,24,OK
