TS,Corrente_Agitador_1601,Corrente_Agitador_1602,Corrente_Agitador_1603,Corrente_Agitador_1604,Corrente_Agitador_1605,Corrente_BB_1006,Corrente_Bomba_1601,Corrente_Bomba_1602,Vazao_Pasta,Dosagem_Acucar_TQ1001,Dosagem_Acucar_TQ1002,Dosagem_Acucar_TQ1003,Dosagem_Agua_TQ1001,Dosagem_Agua_TQ1002,Dosagem_Agua_TQ1003,Dosagem_Oleo_TQ1001,Dosagem_Oleo_TQ1002,Dosagem_Oleo_TQ1003,Dosagem_Vinagre_TQ1001,Dosagem_Vinagre_TQ1002,Dosagem_Vinagre_TQ1003,Pressao_CZ_1603,Pressao_CZ_1605,Temp_CZ_1601,Temp_Holding_1633,Temp_Holding_1634
2023-07-25 16:58:00,8.99,09.08,13.88,13.73,13.77,08.09,5.19,5.38,4.931.073,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,8.249.027,2.662.127,6.809.338,28.845.655,2.890.402
2023-07-25 16:56:00,8.99,09.09,13.87,13.73,13.87,8.12,5.95,5.39,49.291.035,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,8.249.027,2.726.978,79.442.285,2.890.402,2.890.402
2023-07-25 16:54:00,8.99,09.08,13.84,13.75,16.06,7.32,5.91,5.4,3.237.224,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,8.767.834,26.945.525,8.511.673,2.890.402,2.890.402
2023-07-25 16:52:00,8.99,09.09,13.84,14.24,17.28,7.48,5.69,5.36,37.273.026,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,8.767.834,2.726.978,79.442.285,29.033.722,29.033.722
2023-07-25 16:50:00,8.98,09.08,13.86,16.9,17.35,7.68,5.69,5.36,4.373.133,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,92.866.406,2.726.978,79.442.285,29.098.574,29.098.574
2023-07-25 16:48:00,8.98,09.07,15.56,16.97,17.35,7.76,5.69,5.37,44.821.148,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,92.866.406,27.594.033,9.646.563,29.163.424,29.163.424
2023-07-25 16:46:00,8.98,09.07,17.04,16.99,17.43,8.24,5.68,5.59,5.467.931,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,92.866.406,27.594.033,6.809.338,29.228.275,29.228.275
2023-07-25 16:44:00,8.96,09.09,16.93,16.99,17.43,10.59,5.67,5.59,7.223.751,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,98.054.476,27.918.288,6.809.338,29.293.125,29.228.275
2023-07-25 16:42:00,8.95,9.86,16.85,16.93,17.35,10.87,6,5.55,75.844.284,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,98.054.476,28.242.543,6.809.338,29.293.125,29.357.977
2023-07-25 16:40:00,8.95,10.27,16.78,16.9,17.24,10.99,06.02,5.54,74.895.805,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,10.324.254,28.242.543,6.809.338,29.416.342,29.293.125
2023-07-25 16:38:00,8.95,10.26,16.82,16.9,17.24,11.11,5.87,5.53,7.582.723,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,10.324.254,2.853.437,6.809.338,29.481.194,29.481.194
2023-07-25 16:36:00,8.95,10.26,16.8,16.89,17.2,11.13,5.87,5.53,7.577.366,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,10.324.254,2.853.437,9.646.563,29.481.194,29.546.043
2023-07-25 16:34:00,8.98,10.28,16.8,16.89,17.22,11.12,5.86,5.53,75.765.144,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,10.324.254,2.853.437,8.511.673,29.546.043,29.546.043
2023-07-25 16:32:00,8.98,10.3,16.82,16.93,17.24,11.12,5.86,5.53,7.555.239,6.407.143,6.407.143,6.407.143,7795,7795,7795,3.337.099,29.922.918,29.732.674,305,306,301,1.079.118,28.858.626,79.442.285,29.610.895,29.610.895
